value, var1, var2, var3, var4, var5, var6, var7, var8, var9, var10, var11, var12, var13, var14, var15, var16, var17, var18, var19,var20
10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10035.23043,35.23042664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10038.69385,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013.69385,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9976.693847,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9976.693847,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008.51564,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9992.495164,-16.02047957,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0,0,0,0,0
9969.495164,-23,-16.02047957,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0,0,0,0
9953.495164,-16,-23,-16.02047957,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0,0,0
9944.495164,-9,-16,-23,-16.02047957,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0,0
9920.495164,-24,-9,-16,-23,-16.02047957,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0,0
9903.495164,-17,-24,-9,-16,-23,-16.02047957,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0,0
9888.495164,-15,-17,-24,-9,-16,-23,-16.02047957,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0,0
9882.995164,-5.5,-15,-17,-24,-9,-16,-23,-16.02047957,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0,0
9886.995164,4,-5.5,-15,-17,-24,-9,-16,-23,-16.02047957,31.82179675,0,-37,-25,3.463420426,35.23042664,0,0,0,0,0
